Gene Symbol,Ensembl ID,Pvalue,LogFC,cell_type,GEO
ACTB,ENSG00000075624,0.0,	55.8583377956035,cell_B,GSE157344
AFF3,ENSG00000144218,	1.02525700925189e-34,	-71.193609672303,cell_B,GSE157344
ANKRD28,ENSG00000206560,	2.7379860264335494e-11,	-50.57273383793,cell_B,GSE157344
AP001011.1,AP001011.1,	1.0714377586628398e-30,	-25.4252959923025,cell_B,GSE157344
B2M,ENSG00000166710,	7.87119580016136e-141,	75.4142677316903,cell_B,GSE157344
BACH2,ENSG00000112182,	8.60666925260638e-20,	-52.7674646374584,cell_B,GSE157344
CCSER1,ENSG00000184305,	2.12296578876034e-19,	-39.5951465019962,cell_B,GSE157344
CD74,ENSG00000019582,	5.65541720298145e-116,	44.07755524008,cell_B,GSE157344
CEP128,ENSG00000100629,	8.36573942295658e-16,	-25.0424712529248,cell_B,GSE157344
CST3,ENSG00000101439,	2.3183283182849807e-149,	135.10440160541,cell_B,GSE157344
CXCL8,ENSG00000169429,	1.45753966423836e-37,	295.138030788031,cell_B,GSE157344
EBF1,ENSG00000164330,	1.64748497547568e-17,	-33.6418744036941,cell_B,GSE157344
EEF1A1,ENSG00000156508,0.0,	49.8578055736045,cell_B,GSE157344
ELL2,ENSG00000118985,	9.41100778392416e-08,	-23.7434970344421,cell_B,GSE157344
FNDC3B,ENSG00000075420,	1.03234662923051e-22,	-40.7787420841373,cell_B,GSE157344
FTH1,ENSG00000167996,	7.09089474850156e-67,	365.643418019255,cell_B,GSE157344
FTL,ENSG00000087086,	7.72664738035298e-131,	146.355900233351,cell_B,GSE157344
GAB1,ENSG00000109458,	5.27407930938811e-27,	-23.691703324155,cell_B,GSE157344
HDAC9,ENSG00000048052,	2.61269642780831e-19,	-29.5552199758074,cell_B,GSE157344
IGHA1,ENSG00000211895,	4.24900078993766e-07,inf,cell_B,GSE157344
IGHG1,ENSG00000211896,	6.313045044212901e-10,inf,cell_B,GSE157344
IGHM,ENSG00000211899,	0.0173116757059684,inf,cell_B,GSE157344
IGKC,ENSG00000211592,	7.52562964196304e-06,inf,cell_B,GSE157344
ITPR2,ENSG00000123104,	1.30803731786129e-29,	-29.2464186875996,cell_B,GSE157344
JCHAIN,ENSG00000132465,	6.516140892173951e-17,	728.841520284387,cell_B,GSE157344
LPP,ENSG00000145012,	7.13485367827473e-16,	-53.838183065168,cell_B,GSE157344
LRMP,LRMP,	0.036242682763941,	-28.4614780717524,cell_B,GSE157344
LTB,ENSG00000227507,	1.1610196896085302e-31,	71.2782664352982,cell_B,GSE157344
MALAT1,ENSG00000251562,	9.32533163577121e-19,inf,cell_B,GSE157344
MT-ATP6,ENSG00000198899,	6.69287072113639e-134,	135.892815252096,cell_B,GSE157344
MT-CO1,ENSG00000198804,	5.0468315884469405e-112,	138.245047872026,cell_B,GSE157344
MT-CO2,ENSG00000198712,	8.1798434246312e-111,	126.859299868036,cell_B,GSE157344
MT-CO3,ENSG00000198938,	8.61154432020446e-126,	129.931562003334,cell_B,GSE157344
MT-CYB,ENSG00000198727,	8.32760196438462e-177,	120.858561238446,cell_B,GSE157344
MT-ND3,ENSG00000198840,	4.73905402083819e-93,	137.320928334373,cell_B,GSE157344
MT-ND4,ENSG00000198886,	5.66438144388075e-132,	87.8194099045168,cell_B,GSE157344
NEDD9,ENSG00000111859,	1.3048623379178102e-25,	-43.8331494764323,cell_B,GSE157344
NFKBIA,ENSG00000100906,	1.04061989023976e-148,	45.8148026126148,cell_B,GSE157344
PELI1,ENSG00000197329,	3.61173788850946e-12,	-50.9380127463711,cell_B,GSE157344
RABGAP1L,ENSG00000152061,	6.94855381735468e-66,	-107.209090331073,cell_B,GSE157344
RAPGEF2,ENSG00000109756,	1.04107942144176e-14,	-24.9173481377547,cell_B,GSE157344
RBM33,ENSG00000184863,	2.69453885612679e-09,	-23.6324311289651,cell_B,GSE157344
ST6GAL1,ENSG00000073849,	4.81080058852117e-52,	-34.460532474977,cell_B,GSE157344
TMEM131L,ENSG00000121210,	7.77575992008614e-25,	-28.3119949550937,cell_B,GSE157344
TMSB4X,ENSG00000205542,	3.82446886770101e-248,	121.679942289801,cell_B,GSE157344
TPT1,ENSG00000133112,0.0,	48.5440200892572,cell_B,GSE157344
TXN,ENSG00000136810,	4.16513884090095e-133,	55.5722875469172,cell_B,GSE157344
UBE2E2,ENSG00000182247,	2.47832176684772e-34,	-32.291588600376,cell_B,GSE157344
VIM,ENSG00000026025,	8.09391684001662e-162,	47.825182684257,cell_B,GSE157344
WDFY4,ENSG00000128815,	2.10423883329679e-09,	-38.9469991310779,cell_B,GSE157344
ABLIM1,ENSG00000099204,	0.000629377026242,	-29.1217270770147,cell_Endothelial,GSE157344
AC007319.1,AC007319.1,	3.88080813830257e-05,	-29.3750880065326,cell_Endothelial,GSE157344
ADGRL2,ENSG00000117114,	2.12101754686167e-05,	-43.2659935087115,cell_Endothelial,GSE157344
AFF3,ENSG00000144218,	4.37016163604346e-05,	-33.7033355340001,cell_Endothelial,GSE157344
AKAP12,ENSG00000131016,	0.0118112916657854,	-36.7942325272682,cell_Endothelial,GSE157344
ALOX5AP,ENSG00000132965,	2.53596541596182e-178,	26.126671345889,cell_Endothelial,GSE157344
ARL15,ENSG00000185305,	1.04603962827131e-05,	-52.4569077757952,cell_Endothelial,GSE157344
B2M,ENSG00000166710,	1.86415850975418e-16,	49.0071352556501,cell_Endothelial,GSE157344
CEBPB,ENSG00000172216,	4.38300096067855e-171,	36.2139945771253,cell_Endothelial,GSE157344
CEMIP2,ENSG00000135048,	0.001367737186392,	-32.2591809930671,cell_Endothelial,GSE157344
CXCL8,ENSG00000169429,	1.11632119092321e-26,	177.50836112152,cell_Endothelial,GSE157344
ERG,ENSG00000157554,	0.0001244308863265,	-53.899602797145,cell_Endothelial,GSE157344
FLT1,ENSG00000102755,	0.0046436403495703,	-38.0815433107551,cell_Endothelial,GSE157344
FOS,ENSG00000170345,	3.86430343083651e-12,	24.9281656797061,cell_Endothelial,GSE157344
FTH1,ENSG00000167996,	2.1455761984426106e-15,	219.380148144993,cell_Endothelial,GSE157344
FTL,ENSG00000087086,	5.84505869997584e-20,	221.735113996878,cell_Endothelial,GSE157344
H3F3B,H3F3B,	1.29698915163821e-29,	27.8797298559554,cell_Endothelial,GSE157344
HLA-B,ENSG00000234745,	9.93754298932799e-40,	25.8206220673693,cell_Endothelial,GSE157344
HSP90AA1,ENSG00000080824,	5.23893272800453e-20,	25.6049863122977,cell_Endothelial,GSE157344
JMJD1C,ENSG00000171988,	2.37410994448166e-05,	-28.0457398927516,cell_Endothelial,GSE157344
JUN,ENSG00000177606,	1.93989337755151e-10,	28.6760160025674,cell_Endothelial,GSE157344
KIAA1217,ENSG00000120549,	8.08014489975325e-06,	-35.0223911379401,cell_Endothelial,GSE157344
LDB2,ENSG00000169744,	1.8363692846648e-10,	-51.0147191333939,cell_Endothelial,GSE157344
LRMDA,ENSG00000148655,	2.6324578892542302e-09,	-39.4726525694274,cell_Endothelial,GSE157344
MCTP1,ENSG00000175471,	0.0365408070980497,	-72.5231013906441,cell_Endothelial,GSE157344
MT-ATP6,ENSG00000198899,	4.12059278431162e-17,	77.2010789112151,cell_Endothelial,GSE157344
MT-CO1,ENSG00000198804,	9.02803252658786e-18,	116.38061991451,cell_Endothelial,GSE157344
MT-CO2,ENSG00000198712,	7.631237361850861e-20,	137.646514438872,cell_Endothelial,GSE157344
MT-CO3,ENSG00000198938,	1.32387102731078e-20,	79.1990505644898,cell_Endothelial,GSE157344
MT-CYB,ENSG00000198727,	2.87382883002061e-29,	41.6366431623766,cell_Endothelial,GSE157344
MT-ND2,ENSG00000198763,	5.64700982499506e-28,	41.4707078553972,cell_Endothelial,GSE157344
MT-ND3,ENSG00000198840,	5.94138614984633e-18,	42.9052634627855,cell_Endothelial,GSE157344
MT-ND4,ENSG00000198886,	2.80931634390149e-24,	33.5495855281258,cell_Endothelial,GSE157344
MYO1E,ENSG00000157483,	0.0062700112025255,	-38.0299573715271,cell_Endothelial,GSE157344
NEAT1,ENSG00000245532,	0.0048802462988003,	25.6098710453145,cell_Endothelial,GSE157344
PDE4D,ENSG00000113448,	0.0100004332637229,	-32.2596716191087,cell_Endothelial,GSE157344
PLPP1,ENSG00000067113,	0.0006338410929873,	-57.2441727291334,cell_Endothelial,GSE157344
PRICKLE2,ENSG00000163637,	5.72437803596984e-05,	-35.1543751205708,cell_Endothelial,GSE157344
PRKG1,ENSG00000185532,	0.0003740717536894,	-34.0065933082147,cell_Endothelial,GSE157344
PTPRG,ENSG00000144724,	2.49957641515855e-08,	-32.4365844679592,cell_Endothelial,GSE157344
RALGAPA2,ENSG00000188559,	1.01667772229699e-06,	-38.0300033889154,cell_Endothelial,GSE157344
RPL41,ENSG00000229117,	3.43988016002738e-152,	23.2391920311267,cell_Endothelial,GSE157344
RPLP1,ENSG00000137818,	7.402210166005911e-261,	27.657333986258,cell_Endothelial,GSE157344
S100A11,ENSG00000163191,0.0,	80.9490824110065,cell_Endothelial,GSE157344
S100A8,ENSG00000143546,	4.59387903918954e-153,	23.2453593327878,cell_Endothelial,GSE157344
SLCO2A1,ENSG00000174640,	8.42293763603712e-06,	-27.9324946957255,cell_Endothelial,GSE157344
SOD2,ENSG00000112096,	1.66651527571335e-09,	32.2520883391088,cell_Endothelial,GSE157344
SRGN,ENSG00000122862,	8.157156223509541e-20,	36.9556658418631,cell_Endothelial,GSE157344
SYN3,ENSG00000185666,	0.0005817495431861,	-53.8996039993873,cell_Endothelial,GSE157344
TIMP3,ENSG00000100234,	1.64955288387771e-06,	-108.796684546032,cell_Endothelial,GSE157344
TMSB4X,ENSG00000205542,	1.7198873198330599e-40,	44.4162923859128,cell_Endothelial,GSE157344
TMTC1,ENSG00000133687,	0.0008270402314826,	-27.9327732193855,cell_Endothelial,GSE157344
TPT1,ENSG00000133112,	3.26169024920794e-99,	28.8057863308278,cell_Endothelial,GSE157344
VIM,ENSG00000026025,	8.11850830539221e-16,	56.4185774366353,cell_Endothelial,GSE157344
WWTR1,ENSG00000018408,	0.0004439303926262,	-29.3741430432395,cell_Endothelial,GSE157344
AC092640.1,AC092640.1,	1.20760637489332e-101,	-38.2939226607082,cell_Epithelial,GSE157344
AC096564.1,AC096564.1,	1.03517636505282e-138,	-51.3553048312414,cell_Epithelial,GSE157344
ACSL4,ENSG00000068366,	1.5102992331483502e-97,	-28.8240564448536,cell_Epithelial,GSE157344
ACTB,ENSG00000075624,0.0,	127.224688995026,cell_Epithelial,GSE157344
AGBL1,ENSG00000273540,	1.17238906761581e-214,	-45.5012646484389,cell_Epithelial,GSE157344
AKAP13,ENSG00000170776,0.0,	-30.4601588176447,cell_Epithelial,GSE157344
AL133268.4,AL133268.4,	1.47993001002074e-132,	-63.8300631482195,cell_Epithelial,GSE157344
ANK3,ENSG00000151150,0.0,	-45.0091481289623,cell_Epithelial,GSE157344
ATF7IP2,ENSG00000166669,	1.46073373101942e-81,	-51.5543475925982,cell_Epithelial,GSE157344
ATP13A4,ENSG00000127249,	2.7137820007926097e-306,	-52.779259780822,cell_Epithelial,GSE157344
B2M,ENSG00000166710,0.0,	126.627258278288,cell_Epithelial,GSE157344
BTBD9,ENSG00000183826,0.0,	-31.2245023070281,cell_Epithelial,GSE157344
C20orf85,ENSG00000124237,0.0,	60.1354128620097,cell_Epithelial,GSE157344
CAMK1D,ENSG00000183049,	3.91603431550322e-168,	-43.9106034061107,cell_Epithelial,GSE157344
CAPS,ENSG00000105519,0.0,	52.9302688609602,cell_Epithelial,GSE157344
CXCL8,ENSG00000169429,0.0,	305.776888890265,cell_Epithelial,GSE157344
DLG2,ENSG00000150672,	4.6967187525031896e-262,	-35.717017190236,cell_Epithelial,GSE157344
DNAH12,ENSG00000174844,	2.0495284236098495e-230,	-32.2922712194348,cell_Epithelial,GSE157344
ELL2,ENSG00000118985,	3.68116323667853e-118,	-36.5689341762168,cell_Epithelial,GSE157344
EMP2,ENSG00000213853,	4.80771016675734e-83,	-39.0361863258966,cell_Epithelial,GSE157344
ERBB4,ENSG00000178568,	7.512988757188059e-268,	-35.3427375457666,cell_Epithelial,GSE157344
FOS,ENSG00000170345,	1.0101548084026e-70,	55.1222398216706,cell_Epithelial,GSE157344
FTH1,ENSG00000167996,0.0,	557.004333947184,cell_Epithelial,GSE157344
FTL,ENSG00000087086,0.0,	476.357931862592,cell_Epithelial,GSE157344
FTO,ENSG00000140718,	2.31587851120498e-157,	-54.5683358206959,cell_Epithelial,GSE157344
G0S2,ENSG00000123689,0.0,	57.3146432760974,cell_Epithelial,GSE157344
GPC5,ENSG00000179399,	5.85856555041532e-255,	-57.1868893956179,cell_Epithelial,GSE157344
IFITM2,ENSG00000185201,0.0,	53.1991382011383,cell_Epithelial,GSE157344
KHDRBS2,ENSG00000112232,	1.77728504399815e-148,	-43.7659434809342,cell_Epithelial,GSE157344
LAMA3,ENSG00000053747,	5.3395529021356105e-201,	-29.6059162410375,cell_Epithelial,GSE157344
LCN2,ENSG00000148346,0.0,	163.024669943543,cell_Epithelial,GSE157344
LHFPL3,ENSG00000187416,	7.25631597016795e-153,	-35.4387597543055,cell_Epithelial,GSE157344
LIMCH1,ENSG00000064042,0.0,	-65.5552031752806,cell_Epithelial,GSE157344
LMO7,ENSG00000136153,	2.51055233569776e-300,	-36.0595453606706,cell_Epithelial,GSE157344
LRRK2,ENSG00000188906,	1.7417950696160104e-196,	-63.0462919903306,cell_Epithelial,GSE157344
MACROD2,ENSG00000172264,0.0,	-97.4955010085818,cell_Epithelial,GSE157344
MAGI3,ENSG00000081026,0.0,	-29.6599085085427,cell_Epithelial,GSE157344
MALAT1,ENSG00000251562,	4.02720674088175e-105,	293.139530077606,cell_Epithelial,GSE157344
MARCKS,ENSG00000277443,0.0,	48.6395425136335,cell_Epithelial,GSE157344
MBNL1,ENSG00000152601,0.0,	-47.818251878591,cell_Epithelial,GSE157344
MT-ATP6,ENSG00000198899,0.0,	163.144204947889,cell_Epithelial,GSE157344
MT-CO1,ENSG00000198804,0.0,	282.72592941767,cell_Epithelial,GSE157344
MT-CO2,ENSG00000198712,0.0,	205.119153214642,cell_Epithelial,GSE157344
MT-CO3,ENSG00000198938,0.0,	145.913140871434,cell_Epithelial,GSE157344
MT-CYB,ENSG00000198727,0.0,	123.831220504923,cell_Epithelial,GSE157344
MT-ND1,ENSG00000198888,0.0,	72.5965655605815,cell_Epithelial,GSE157344
MT-ND2,ENSG00000198763,0.0,	235.270956572635,cell_Epithelial,GSE157344
MT-ND3,ENSG00000198840,0.0,	155.985275234895,cell_Epithelial,GSE157344
MT-ND4,ENSG00000198886,0.0,	108.284514091886,cell_Epithelial,GSE157344
MT-ND5,ENSG00000198786,0.0,	71.6236749545967,cell_Epithelial,GSE157344
MTRNR2L12,ENSG00000269028,0.0,	157.230626652511,cell_Epithelial,GSE157344
MTRNR2L8,ENSG00000255823,0.0,	154.258297866375,cell_Epithelial,GSE157344
NCKAP5,ENSG00000176771,	1.86831068813478e-147,	-127.735784305444,cell_Epithelial,GSE157344
NEAT1,ENSG00000245532,	0.0088882442544084,	62.308323534277,cell_Epithelial,GSE157344
NFKBIA,ENSG00000100906,	9.72901403059595e-121,	55.4412469616666,cell_Epithelial,GSE157344
NTM,ENSG00000182667,	7.33764657795289e-101,	-253.251911359084,cell_Epithelial,GSE157344
OMG,ENSG00000126861,0.0,	51.4802826273502,cell_Epithelial,GSE157344
P3H2,ENSG00000090530,	5.5684491292457597e-244,	-38.2954536082233,cell_Epithelial,GSE157344
PDE4D,ENSG00000113448,0.0,	-90.1089793467785,cell_Epithelial,GSE157344
PTPRG,ENSG00000144724,	1.53176430920874e-274,	-46.5000780387229,cell_Epithelial,GSE157344
ROS1,ENSG00000047936,	2.012377985588e-235,	-26.8108096444777,cell_Epithelial,GSE157344
RP1,ENSG00000104237,	0.034334092987566,	-34.1810351772116,cell_Epithelial,GSE157344
RTKN2,ENSG00000182010,	5.76044197485982e-110,	-38.4709681320955,cell_Epithelial,GSE157344
S100A11,ENSG00000163191,0.0,	68.0764610873488,cell_Epithelial,GSE157344
S100A6,ENSG00000197956,0.0,	164.39011901752,cell_Epithelial,GSE157344
S100A8,ENSG00000143546,0.0,	240.538462977985,cell_Epithelial,GSE157344
S100A9,ENSG00000163220,0.0,	200.596572708588,cell_Epithelial,GSE157344
SAA1,ENSG00000173432,0.0,	348.705392445729,cell_Epithelial,GSE157344
SAA2,ENSG00000134339,0.0,	166.663437498097,cell_Epithelial,GSE157344
SAT1,ENSG00000130066,0.0,	76.2037591513713,cell_Epithelial,GSE157344
SFTPC,ENSG00000168484,	7.4074831009941e-148,	235.431727940997,cell_Epithelial,GSE157344
SGMS2,ENSG00000164023,	3.35930325518843e-156,	-50.562077721867,cell_Epithelial,GSE157344
SLC4A4,ENSG00000080493,	1.7181255087983298e-126,	-29.6264513955131,cell_Epithelial,GSE157344
SLPI,ENSG00000124107,0.0,	147.357224756158,cell_Epithelial,GSE157344
SOD2,ENSG00000112096,	7.2868345948863e-236,	132.257671861442,cell_Epithelial,GSE157344
SOX5,ENSG00000134532,0.0,	-26.8014111305493,cell_Epithelial,GSE157344
SPAG16,ENSG00000144451,	7.44238046664479e-52,	-30.5059836940533,cell_Epithelial,GSE157344
SRGN,ENSG00000122862,0.0,	117.900494875139,cell_Epithelial,GSE157344
SYNE1,ENSG00000131018,	4.527109654599e-273,	-66.9010683194551,cell_Epithelial,GSE157344
TACC1,ENSG00000147526,	4.90036993878662e-252,	-29.4283797532465,cell_Epithelial,GSE157344
TMEM190,ENSG00000160472,0.0,	61.4359184888194,cell_Epithelial,GSE157344
TMSB4X,ENSG00000205542,0.0,	99.0005039291425,cell_Epithelial,GSE157344
VIM,ENSG00000026025,0.0,	60.177606688219,cell_Epithelial,GSE157344
WFDC2,ENSG00000101443,0.0,	105.751722074184,cell_Epithelial,GSE157344
WSB1,ENSG00000109046,	3.09709954403821e-264,	-30.8046313697088,cell_Epithelial,GSE157344
ZNF385B,ENSG00000144331,0.0,	-68.5882659815008,cell_Epithelial,GSE157344
ANK2,ENSG00000145362,	2.70758216643123e-218,	-40.2210621824818,cell_Fibroblasts,GSE157344
B2M,ENSG00000166710,0.0,	160.441587083651,cell_Fibroblasts,GSE157344
